km_driven,mileage,engine,max_power,seats,no. of years,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Manual,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner
49185,16.8,1497.0,116.4,5,9,0,0,1,0,0,1,0,0,0,0
20000,28.09,1248.0,88.5,5,3,1,0,0,1,0,1,0,0,0,0
86000,14.0,2179.0,138.1,7,7,1,0,0,1,0,1,0,1,0,0
24000,28.4,1248.0,74.02,5,2,1,0,0,1,0,1,0,0,0,0
150000,17.8,1248.0,75.0,5,12,1,0,0,1,0,1,0,0,0,0
80000,26.0,1498.0,98.6,5,6,1,0,0,1,0,1,0,1,0,0
70000,19.7,796.0,46.3,5,16,0,0,1,1,0,1,0,0,0,1
70000,21.1,814.0,55.2,5,7,0,0,1,1,0,1,0,0,0,0
63000,27.3,1498.0,98.6,5,6,1,0,0,0,0,1,0,0,0,0
63063,18.9,1197.0,82.0,5,6,0,0,1,0,0,0,0,0,0,0
25000,24.3,1248.0,88.5,5,4,1,0,0,1,0,1,0,0,0,0
30000,22.69,1995.0,190.0,5,5,1,0,0,0,0,0,0,0,0,0
100000,25.0,1396.0,69.01,5,7,1,0,0,1,0,1,0,1,0,0
80000,20.0,1399.0,68.0,5,10,1,0,0,1,0,1,0,1,0,0
60000,20.0,1339.0,108.5,5,13,0,0,1,1,0,0,0,0,0,1
15000,19.01,1462.0,103.2,6,2,0,0,1,1,0,1,0,0,0,0
20000,22.37,2487.0,214.56,5,2,0,0,1,0,0,0,0,0,0,0
66000,14.7,796.0,37.0,8,8,0,0,1,1,0,1,0,0,0,0
35000,17.3,1497.0,117.3,7,6,0,0,1,1,0,1,0,0,0,0
96000,20.46,1461.0,83.8,5,8,1,0,0,1,0,1,0,0,0,0
56000,25.1,1498.0,98.6,5,7,1,0,0,1,0,1,0,1,0,0
25000,15.29,1591.0,121.3,5,5,0,0,1,1,0,1,0,0,0,0
25000,20.0,1497.0,115.0,5,2,1,0,0,1,0,1,0,0,0,0
50000,18.49,1493.0,100.0,7,5,1,0,0,1,0,1,0,0,0,0
110000,16.36,2179.0,140.0,7,3,1,0,0,1,0,1,0,0,0,0
90000,21.1,814.0,55.2,5,7,0,0,1,1,0,1,0,0,0,0
40000,18.6,1197.0,81.83,5,3,0,0,1,1,0,1,0,0,0,0
100000,18.6,1199.0,79.4,5,10,0,0,1,1,0,1,0,0,0,1
50000,19.7,796.0,46.3,5,9,0,0,1,1,0,1,0,1,0,0
57000,25.1,1248.0,88.5,5,3,1,0,0,1,0,1,0,1,0,0
20000,21.1,1197.0,85.8,5,11,0,0,1,1,0,1,0,0,0,0
80000,16.1,796.0,37.0,4,23,0,0,1,1,0,1,1,0,0,0
60000,22.32,1582.0,126.32,5,9,1,0,0,1,0,1,0,0,0,1
98000,20.5,1598.0,103.5,5,8,1,0,0,1,0,1,0,0,0,0
120000,23.2,1248.0,73.94,5,5,1,0,0,1,0,1,0,0,0,0
20000,22.0,1197.0,81.8,5,2,0,0,1,1,0,0,0,0,0,0
70000,19.7,796.0,46.3,5,13,0,0,1,1,0,1,0,0,0,1
80000,22.32,1582.0,126.32,5,7,1,0,0,1,0,1,0,1,0,0
80000,13.6,2523.0,63.0,7,14,1,0,0,1,0,1,0,1,0,0
120000,25.32,1198.0,77.0,6,4,1,0,0,1,0,1,0,0,0,0
30000,27.39,1248.0,74.0,5,4,1,0,0,1,0,1,0,0,0,0
90000,22.74,796.0,47.3,5,8,0,0,1,1,0,1,0,0,0,0
61000,21.64,1461.0,84.8,5,8,1,0,0,0,0,1,0,1,0,0
80000,25.01,1498.0,89.75,5,7,1,0,0,1,0,1,0,0,0,0
100000,16.2,1599.0,103.2,5,11,0,0,1,1,0,1,0,0,0,1
85000,21.1,1248.0,73.9,5,10,1,0,0,1,0,1,0,1,0,0
125000,21.14,1498.0,103.52,5,5,1,0,0,0,0,1,0,1,0,0
100000,23.0,1248.0,88.7,5,6,1,0,0,1,0,1,0,0,0,0
80000,20.36,1197.0,78.9,5,10,0,0,1,1,0,1,0,0,0,0
100000,14.0,2498.0,112.0,8,8,1,0,0,1,0,1,0,1,0,0
90000,16.2,1493.0,110.0,5,10,1,0,0,1,0,1,0,0,0,1
2000,16.8,1984.0,150.0,5,3,1,0,0,0,0,0,0,0,0,0
20000,18.9,1197.0,82.0,5,4,0,0,1,1,0,1,0,0,0,0
27000,22.54,1396.0,88.73,5,4,1,0,0,1,0,1,0,0,0,0
120000,17.8,1248.0,75.0,5,13,1,0,0,1,0,1,0,1,0,0
48000,25.4,1186.0,73.97,5,3,1,0,0,1,0,1,0,0,0,0
90000,21.94,1196.0,63.0,5,7,0,0,0,1,0,1,0,0,0,0
70000,27.28,1047.0,69.0,5,5,1,0,0,1,0,1,0,0,0,0
35000,16.02,1373.0,93.7,7,6,0,0,1,1,0,1,0,0,0,0
250000,12.99,2494.0,100.0,7,9,1,0,0,1,0,1,0,0,0,0
65000,12.99,2494.0,100.6,8,5,1,0,0,1,0,1,0,0,0,0
50000,14.24,2755.0,174.5,7,3,1,0,0,1,0,1,0,0,0,0
10000,18.9,1197.0,81.86,5,4,0,0,1,1,0,0,0,0,0,0
40000,12.99,2494.0,100.6,7,6,1,0,0,1,0,1,0,0,0,0
40000,20.14,1197.0,81.86,5,3,0,0,1,1,0,1,0,0,0,0
45000,21.4,1197.0,83.1,5,5,0,0,1,1,0,1,0,0,0,0
60000,20.36,1197.0,78.9,5,10,0,0,1,1,0,1,0,1,0,0
20000,18.0,1969.0,190.0,5,2,1,0,0,1,0,0,0,0,0,0
100000,18.9,1061.0,67.0,5,13,0,0,1,1,0,1,0,0,0,1
271000,16.8,1405.0,62.0,5,17,1,0,0,1,0,1,0,0,0,0
103000,16.5,1493.0,70.0,7,5,1,0,0,1,0,1,0,0,0,0
30000,19.09,1396.0,69.0,5,8,1,0,0,1,0,1,0,0,0,0
30000,25.17,799.0,53.3,5,5,0,0,1,1,0,1,0,0,0,1
50000,18.2,1248.0,73.8,8,7,1,0,0,1,0,1,1,0,0,0
100000,24.4,1120.0,71.0,5,7,1,0,0,1,0,1,0,0,0,0
80000,21.02,1248.0,88.76,5,8,1,0,0,1,0,1,0,0,0,0
70000,16.2,995.0,62.1,5,9,0,0,1,1,0,1,0,1,0,0
30000,20.89,1197.0,81.8,5,4,0,0,1,1,0,1,0,0,0,0
70000,21.9,1396.0,88.76,5,8,1,0,0,1,0,1,0,0,0,1
100000,13.5,2179.0,115.0,5,10,1,0,0,1,0,1,0,1,0,0
22000,21.4,1197.0,83.1,5,3,0,0,1,1,0,1,0,0,0,0
70000,25.2,1248.0,74.0,5,7,1,0,0,1,0,1,0,0,0,1
161000,13.0,1493.0,100.0,5,19,0,0,1,1,0,1,1,0,0,0
90000,21.21,1498.0,103.2,5,7,1,0,0,1,0,0,0,1,0,0
170000,13.6,2523.0,63.0,7,12,1,0,0,1,0,1,0,1,0,0
120000,23.59,1364.0,67.04,5,7,1,0,0,1,0,1,0,1,0,0
54891,23.59,1364.0,67.04,5,7,1,0,0,0,0,1,0,0,0,0
110000,20.0,1399.0,68.1,5,8,1,0,0,1,0,1,0,0,0,0
100000,15.0,1896.0,105.0,5,11,1,0,0,1,0,1,0,0,0,0
45000,28.4,1248.0,74.0,5,6,1,0,0,0,0,1,0,0,0,0
3000,15.04,2755.0,174.5,7,1,1,0,0,1,0,0,0,0,0,0
28000,22.54,1396.0,88.73,5,4,1,0,0,1,0,1,0,0,0,0
60000,13.0,2143.0,201.1,5,7,1,0,0,1,0,0,0,1,0,0
50000,12.05,2179.0,120.0,8,10,1,0,0,1,0,1,0,0,0,1
165000,15.1,2179.0,140.0,7,7,1,0,0,1,0,1,0,1,0,0
120000,26.59,1248.0,74.0,5,5,1,0,0,1,0,1,0,1,0,0
45000,28.4,1248.0,74.02,5,3,1,0,0,1,0,1,0,0,0,0
10000,11.36,2755.0,171.5,7,3,1,0,0,1,0,0,0,0,0,0
58343,21.79,998.0,67.05,5,8,0,0,1,0,1,1,0,0,0,0
120000,13.6,2523.0,63.0,7,11,1,0,0,1,0,1,0,1,0,0
46533,18.9,998.0,67.1,5,11,0,0,1,0,0,1,0,0,0,0
70000,20.45,1461.0,83.8,5,7,1,0,0,1,0,1,0,0,0,1
30000,20.51,998.0,67.04,5,5,0,0,1,1,0,1,0,0,0,0
40000,18.3,1991.0,147.9,5,10,1,0,0,1,0,1,0,0,0,0
18000,18.6,1197.0,81.86,5,2,0,0,1,1,0,1,0,0,0,0
31000,24.04,999.0,67.0,5,3,0,0,1,0,0,0,0,0,0,0
70000,27.39,1248.0,74.0,5,4,1,0,0,1,0,1,0,0,0,0
80000,23.9,1582.0,126.2,5,5,1,0,0,1,0,1,0,0,0,0
30000,18.7,1199.0,88.7,5,5,0,0,1,1,0,1,0,0,0,0
40000,25.4,624.0,38.0,4,9,0,0,1,1,0,1,0,1,0,0
135000,26.59,1248.0,74.0,5,6,1,0,0,1,0,1,0,0,0,0
90000,12.8,2494.0,102.0,8,9,1,0,0,1,0,1,0,0,0,0
120000,21.0,1461.0,64.1,5,10,1,0,0,1,0,1,0,0,0,1
90000,22.54,1396.0,88.73,5,6,1,0,0,1,0,1,0,0,0,0
70000,21.1,814.0,55.2,5,9,0,0,1,1,0,1,0,0,0,0
129000,19.72,1461.0,108.45,5,7,1,0,0,1,0,1,0,0,0,0
90000,20.0,1399.0,68.0,5,9,1,0,0,1,0,1,0,0,0,0
170000,13.6,2523.0,63.0,7,12,1,0,0,1,0,1,0,0,0,1
10000,19.02,1198.0,67.05,5,1,0,0,1,1,0,1,0,0,0,0
150000,19.09,1396.0,69.0,5,8,1,0,0,1,0,1,0,0,0,0
4000,18.9,1197.0,81.86,5,3,0,0,1,1,0,1,0,0,0,0
70000,20.0,1399.0,68.1,5,8,1,0,0,1,0,1,0,0,0,0
70000,15.7,1405.0,70.0,5,11,1,0,0,1,0,1,0,0,0,1
75000,22.32,1582.0,126.3,5,8,1,0,0,1,0,0,0,0,0,0
100000,22.32,1582.0,126.32,5,7,1,0,0,1,0,1,0,1,0,0
120000,15.3,1341.0,83.0,5,16,0,0,1,1,0,1,1,0,0,0
20000,20.51,998.0,67.0,5,4,0,0,1,1,0,0,0,0,0,0
147279,17.0,2200.0,139.01,7,7,1,0,0,1,0,1,0,1,0,0
80000,15.1,1196.0,73.0,5,8,0,0,1,1,0,1,0,1,0,0
50000,25.2,1248.0,74.0,5,5,1,0,0,1,0,1,0,0,0,0
11000,14.3,1598.0,103.5,5,5,0,0,1,0,0,0,0,0,0,0
30000,18.6,1199.0,76.8,5,5,0,0,1,1,0,1,0,0,0,0
120000,19.01,1461.0,108.45,5,8,1,0,0,1,0,1,0,1,0,0
87000,20.77,1248.0,88.76,7,9,1,0,0,1,0,1,0,0,0,0
175000,23.03,1396.0,69.0,5,10,1,0,0,1,0,1,0,1,0,0
102000,12.8,2494.0,102.0,8,9,1,0,0,1,0,1,0,1,0,0
122358,12.05,2179.0,120.0,9,10,1,0,0,1,0,1,0,0,0,0
31800,18.6,1197.0,81.86,5,3,0,0,1,1,0,1,0,0,0,0
45000,18.49,1493.0,100.0,7,6,1,0,0,1,0,0,0,0,0,0
150000,22.32,1582.0,126.32,5,9,1,0,0,1,0,1,0,0,0,1
198000,14.8,1998.0,68.0,5,22,1,0,0,1,0,1,0,1,0,0
70000,25.44,936.0,57.6,5,10,1,0,0,1,0,1,1,0,0,0
60175,18.2,1199.0,82.5,5,7,0,0,1,1,0,1,0,0,0,0
80000,18.8,1248.0,90.0,5,12,1,0,0,1,0,1,0,0,0,1
80000,19.1,1197.0,82.0,5,5,0,0,1,1,0,1,0,1,0,0
110000,20.8,1461.0,65.0,5,9,1,0,0,1,0,1,0,1,0,0
80000,22.54,1396.0,88.73,5,7,1,0,0,1,0,1,0,1,0,0
70000,19.81,1086.0,68.05,5,8,0,0,1,1,0,1,0,0,0,0
31000,25.2,1248.0,74.0,5,6,1,0,0,1,0,1,0,1,0,0
10000,21.4,1197.0,83.1,5,2,0,0,1,1,0,0,0,0,0,0
65000,15.9,1298.0,85.0,5,22,0,0,1,1,0,1,1,0,0,0
8000,18.6,1197.0,81.83,5,4,0,0,1,1,0,1,0,0,0,0
44000,24.7,796.0,47.3,5,3,0,0,1,1,0,1,0,0,0,0
90000,14.53,1794.0,138.1,5,12,0,0,1,1,0,0,0,0,0,0
120000,12.2,2499.0,80.0,10,10,1,0,0,1,0,1,0,1,0,0
100000,19.7,796.0,46.3,5,10,0,0,1,1,0,1,0,1,0,0
120000,13.5,2179.0,115.0,5,10,1,0,0,1,0,1,0,0,0,1
81000,19.01,1461.0,108.45,5,8,1,0,0,1,0,1,0,1,0,0
12800,17.8,1496.0,105.5,5,3,0,0,1,1,0,0,0,0,0,0
80000,16.8,796.0,34.2,8,7,0,0,1,1,0,1,0,0,0,0
11533,14.23,1498.0,104.55,5,2,0,0,1,0,1,1,0,0,0,0
20000,22.37,2487.0,214.56,5,2,0,0,1,0,0,0,0,0,0,0
39000,14.28,1798.0,138.03,5,8,0,0,1,0,0,0,0,0,0,0
80000,16.1,796.0,37.0,4,15,0,0,1,1,0,1,0,0,0,0
65000,17.92,1086.0,62.1,5,11,0,0,1,1,0,1,0,1,0,0
214000,13.9,1599.0,103.2,5,12,0,0,1,1,0,1,0,1,0,0
56290,24.0,1186.0,73.97,5,4,1,0,0,0,0,1,0,0,0,0
65000,21.14,1498.0,103.52,5,7,1,0,0,1,0,1,0,1,0,0
70000,26.0,1498.0,98.6,5,6,1,0,0,1,0,1,0,0,0,0
70000,17.7,1497.0,78.0,5,14,0,0,1,1,0,1,0,0,0,0
60000,22.77,1498.0,98.59,5,5,1,0,0,0,0,1,0,0,0,0
90000,12.8,2494.0,102.0,8,9,1,0,0,1,0,1,0,0,0,0
45000,21.1,814.0,55.2,5,6,0,0,1,1,0,1,0,0,0,0
35000,13.68,2393.0,147.8,7,3,1,0,0,1,0,1,0,1,0,0
25000,16.8,796.0,34.2,8,3,0,0,1,1,0,1,0,0,0,0
23000,17.3,1497.0,121.0,7,2,1,0,0,0,0,1,0,0,0,0
11500,15.26,1798.0,187.74,5,2,0,0,1,0,0,0,0,0,1,0
120000,17.8,1248.0,75.0,5,13,1,0,0,1,0,1,0,0,0,0
20000,28.4,1248.0,74.0,5,2,1,0,0,1,0,1,0,0,0,0
246000,12.99,2494.0,100.0,7,9,1,0,0,1,0,1,0,1,0,0
50000,23.03,1396.0,69.0,5,9,1,0,0,1,0,1,0,0,0,0
68700,19.0,998.0,66.1,5,11,0,0,1,1,0,1,0,0,0,1
120000,17.88,1405.0,48.21,5,8,1,0,0,1,0,1,0,1,0,0
7000,19.4,1194.0,94.93,5,2,0,0,1,1,0,1,0,0,0,0
219000,12.8,2494.0,102.0,8,13,1,0,0,1,0,1,0,1,0,0
26000,19.6,1461.0,108.45,5,3,1,0,0,1,0,1,0,0,0,0
60000,21.4,1197.0,83.1,5,5,0,0,1,1,0,1,0,0,0,0
65000,25.2,1248.0,74.0,5,7,1,0,0,1,0,1,0,0,0,0
60000,16.02,1373.0,93.7,7,8,0,0,1,1,0,1,0,0,0,0
60000,16.8,796.0,34.2,8,5,0,0,1,1,0,1,0,0,0,0
80000,17.92,1086.0,62.1,5,12,0,0,1,1,0,1,0,1,0,0
140000,11.57,2179.0,138.1,7,10,1,0,0,1,0,1,0,1,0,0
145000,15.3,2956.0,83.83,7,8,1,0,0,1,0,1,0,0,0,0
120000,17.7,1497.0,78.0,5,13,0,0,1,1,0,1,0,1,0,0
57000,20.51,998.0,67.04,5,8,0,0,1,1,0,1,0,1,0,0
90000,16.1,796.0,37.0,4,14,0,0,1,1,0,1,0,0,0,0
127000,16.8,1493.0,110.0,5,13,1,0,0,1,0,1,0,1,0,0
28900,17.8,1497.0,117.3,5,3,0,0,1,0,0,1,0,0,0,0
40000,16.36,2179.0,140.0,7,3,1,0,0,1,0,1,0,0,0,0
200000,20.5,1248.0,91.7,5,10,1,0,0,1,0,1,0,0,0,0
50000,23.01,999.0,67.0,5,4,0,0,1,1,0,1,0,0,0,0
71500,22.54,1396.0,88.73,5,3,1,0,0,0,0,1,0,0,0,0
40000,23.8,1498.0,78.9,5,2,1,0,0,1,0,0,0,0,0,0
90000,27.3,1498.0,98.6,5,6,1,0,0,1,0,1,0,0,0,0
43978,28.4,1248.0,74.0,5,8,1,0,0,0,0,1,0,1,0,0
17500,20.51,998.0,67.04,5,3,0,0,1,1,0,1,0,0,0,0
30000,19.64,1461.0,108.45,5,5,1,0,0,1,0,1,0,0,0,0
56494,18.2,1199.0,88.7,5,5,0,0,1,0,1,1,0,0,0,0
90000,12.8,1489.0,35.5,5,21,1,0,0,1,0,1,0,1,0,0
15000,25.17,799.0,53.3,5,5,0,0,1,1,0,1,0,0,0,0
15000,25.2,1248.0,74.0,5,7,1,0,0,1,0,1,0,0,0,0
53000,28.09,1248.0,88.5,5,4,1,0,0,1,0,1,0,0,0,0
80000,15.37,1196.0,73.0,5,10,0,0,1,1,0,1,0,0,0,1
25000,21.1,814.0,55.2,5,4,0,0,1,1,0,1,0,0,0,0
120000,17.7,1497.0,78.0,5,13,0,0,1,1,0,1,0,1,0,0
45000,21.1,814.0,55.2,5,8,0,0,1,1,0,1,0,1,0,0
50000,28.4,1248.0,74.02,5,3,1,0,0,1,0,1,0,0,0,0
18500,20.3,1086.0,68.0,5,2,0,0,1,1,0,1,0,0,0,0
9000,13.6,1999.0,177.0,5,4,1,0,0,0,0,0,0,0,0,0
7032,19.0,1199.0,88.76,5,2,0,0,1,0,1,0,0,0,0,0
140000,18.88,1995.0,184.0,5,8,1,0,0,1,0,0,0,1,0,0
51000,22.0,1197.0,81.8,5,6,0,0,1,0,0,1,0,0,0,0
125000,20.54,1598.0,103.6,5,10,1,0,0,1,0,1,1,0,0,0
35000,19.7,2143.0,134.1,5,6,1,0,0,0,0,0,0,1,0,0
60000,22.74,796.0,47.3,5,8,0,0,1,1,0,1,0,1,0,0
38000,18.6,1197.0,81.83,5,5,0,0,1,1,0,1,0,0,0,0
120000,23.03,1396.0,69.0,5,9,1,0,0,1,0,1,0,0,0,0
38000,24.7,796.0,47.3,5,9,0,0,1,0,0,1,0,1,0,0
175000,17.3,1061.0,57.5,5,14,0,1,0,1,0,1,0,0,0,0
25000,22.0,1197.0,81.8,5,3,0,0,1,1,0,1,0,0,0,0
15780,17.8,1198.0,86.7,5,4,0,0,1,1,0,1,0,0,0,0
30000,23.01,999.0,67.0,5,3,0,0,1,1,0,1,0,0,0,0
40000,20.92,998.0,67.1,5,7,0,0,1,1,0,1,0,1,0,0
120000,16.4,1896.0,90.0,5,16,1,0,0,1,0,1,0,0,0,1
50000,24.3,1248.0,88.5,5,4,1,0,0,1,0,1,0,0,0,0
97000,19.0,1086.0,68.1,5,9,0,1,0,1,0,1,0,0,0,1
45000,17.19,1197.0,81.86,5,6,0,0,1,1,0,1,0,0,0,0
25000,23.57,1396.0,70.0,5,8,1,0,0,1,0,1,0,0,0,0
38000,28.4,1248.0,74.0,5,2,1,0,0,1,0,0,0,0,0,0
147000,19.3,1248.0,73.9,5,13,1,0,0,1,0,1,0,1,0,0
33033,19.4,1198.0,86.8,5,7,0,0,1,0,0,1,0,0,0,0
40000,18.6,1197.0,81.83,5,4,0,0,1,1,0,1,0,0,0,0
136000,15.1,2179.0,140.0,7,7,1,0,0,1,0,1,0,0,0,0
50000,18.5,1197.0,85.8,5,7,0,0,1,1,0,1,0,0,0,0
28000,15.1,2179.0,140.0,7,6,1,0,0,1,0,1,0,1,0,0
70000,16.1,796.0,37.0,4,15,0,0,1,1,0,1,0,1,0,0
120000,12.05,2179.0,120.0,8,9,1,0,0,1,0,1,0,1,0,0
110000,17.0,1405.0,71.0,5,11,1,0,0,1,0,1,0,1,0,0
19000,18.6,1197.0,81.83,5,4,0,0,1,1,0,1,0,0,0,0
90000,17.5,1298.0,85.8,5,9,0,0,1,1,0,1,0,1,0,0
120000,23.2,1248.0,73.94,5,8,1,0,0,1,0,1,0,0,0,0
32000,24.7,796.0,47.3,5,5,0,0,1,0,0,1,0,0,0,0
120000,24.52,1248.0,88.5,7,5,1,0,0,1,0,1,0,0,0,0
40000,19.7,796.0,46.3,5,16,0,0,1,1,0,1,0,1,0,0
85000,20.0,1399.0,68.0,5,10,1,0,0,1,0,1,0,0,0,0
48000,24.3,1248.0,88.5,5,3,1,0,0,0,0,1,0,0,0,0
15000,21.1,998.0,100.5,5,3,0,0,1,1,0,1,0,0,0,0
80000,15.96,2523.0,62.1,7,6,1,0,0,1,0,1,0,0,0,0
175000,18.7,1896.0,66.0,5,14,1,0,0,1,0,1,0,1,0,0
56290,24.0,1186.0,73.97,5,4,1,0,0,0,0,1,0,0,0,0
40000,23.57,1396.0,70.0,5,9,1,0,0,1,0,1,0,0,0,0
7500,16.78,1995.0,190.0,5,2,1,0,0,0,0,0,0,0,0,0
30000,24.04,999.0,67.0,5,3,0,0,1,1,0,0,0,0,0,0
9656,25.17,799.0,53.3,5,5,0,0,1,1,0,1,0,0,0,0
78010,21.66,1498.0,103.52,5,5,1,0,0,0,0,0,0,0,0,0
120000,12.0,2092.0,127.0,7,14,1,0,0,1,0,1,0,1,0,0
20000,22.37,2487.0,214.56,5,2,0,0,1,0,0,0,0,0,0,0
30000,15.96,2523.0,62.1,7,6,1,0,0,1,0,1,0,0,0,0
46000,24.5,1498.0,98.6,7,6,1,0,0,1,0,1,0,0,0,0
19000,28.4,1248.0,74.02,5,4,1,0,0,1,0,0,0,0,0,0
40000,21.1,814.0,55.2,5,9,0,0,1,1,0,1,0,0,0,0
35000,24.4,1120.0,71.0,5,5,1,0,0,1,0,1,0,0,0,0
40000,24.52,1248.0,88.5,7,6,1,0,0,1,0,1,0,0,0,0
9654,19.56,1197.0,81.8,5,2,0,0,1,0,0,0,0,0,0,0
45217,25.83,1498.0,99.0,5,5,1,0,0,0,0,1,0,0,0,0
100000,13.58,2499.0,72.4,9,5,1,0,0,1,0,1,0,0,0,0
60000,18.9,1197.0,82.0,5,7,0,0,1,1,0,1,0,0,0,0
2000,16.8,1984.0,150.0,5,3,1,0,0,0,0,0,0,0,0,0
90000,25.0,1396.0,69.0,5,10,1,0,0,1,0,1,0,1,0,0
70000,23.4,1248.0,74.0,5,7,1,0,0,1,0,1,0,1,0,0
70000,20.36,1197.0,78.9,5,13,0,0,1,1,0,1,0,1,0,0
60000,20.77,1248.0,88.76,7,8,1,0,0,1,0,1,0,1,0,0
80000,19.1,1197.0,82.0,5,7,0,0,1,1,0,1,0,0,0,0
35000,20.4,1197.0,83.11,5,6,0,0,1,1,0,1,0,1,0,0
150000,11.5,2982.0,171.0,7,11,1,0,0,1,0,1,0,1,0,0
90000,20.0,1399.0,68.0,5,10,1,0,0,1,0,1,0,1,0,0
45000,23.84,1199.0,84.0,5,3,0,0,1,1,0,1,0,1,0,0
134000,25.2,1248.0,74.0,5,6,1,0,0,1,0,1,0,0,0,0
35000,19.83,1198.0,67.0,5,2,0,0,1,1,0,1,0,0,0,0
90000,20.0,1399.0,68.0,5,11,1,0,0,1,0,1,0,1,0,0
100000,15.96,2523.0,62.1,9,10,1,0,0,1,0,1,0,0,0,0
70000,14.0,2523.0,75.0,8,8,1,0,0,1,0,1,0,0,0,1
120000,22.9,1248.0,74.0,5,9,1,0,0,1,0,1,0,1,0,0
20000,18.0,1969.0,190.0,5,2,1,0,0,1,0,0,0,0,0,0
77000,22.32,1582.0,126.32,5,9,1,0,0,1,0,1,0,0,0,0
102000,16.1,1298.0,88.2,5,15,0,0,1,1,0,1,0,0,0,1
50000,21.1,814.0,55.2,5,4,0,0,1,1,0,1,0,0,0,0
7000,22.5,999.0,67.0,5,3,0,0,1,1,0,1,0,0,0,0
35000,17.0,1198.0,73.75,5,5,0,0,1,1,0,1,0,0,0,0
70000,19.7,796.0,46.3,5,14,0,0,1,1,0,1,0,0,0,0
71000,16.1,1197.0,85.0,5,12,0,0,1,1,0,1,0,0,0,0
14548,21.21,1197.0,81.8,5,2,0,0,1,0,0,1,0,0,0,0
35000,17.5,1373.0,91.1,7,4,0,0,1,1,0,1,0,0,0,0
120000,16.2,1199.0,74.0,5,5,0,0,1,1,0,1,0,1,0,0
35000,19.81,1086.0,68.05,5,12,0,0,1,1,0,1,0,0,0,0
70000,18.9,1197.0,82.0,5,6,0,0,1,1,0,1,0,0,0,0
2000,16.8,1984.0,150.0,5,3,1,0,0,0,0,0,0,0,0,0
30000,23.84,1199.0,84.0,5,4,0,0,1,1,0,1,0,0,0,0
100000,18.5,1197.0,80.0,5,12,0,0,1,1,0,1,0,0,0,0
56494,18.2,1199.0,88.7,5,5,0,0,1,0,1,1,0,0,0,0
62000,13.0,1343.0,90.0,5,17,0,0,1,1,0,1,0,1,0,0
80000,23.4,1248.0,74.0,5,8,1,0,0,1,0,1,1,0,0,0
51000,19.56,1197.0,81.8,5,4,0,0,1,0,0,0,0,0,0,0
40000,19.4,1198.0,86.8,5,7,0,0,1,1,0,1,0,0,0,1
100000,22.54,1396.0,88.73,5,5,1,0,0,1,0,1,0,0,0,0
7000,18.9,1197.0,81.86,5,2,0,0,1,1,0,0,0,0,0,0
30000,20.3,1086.0,68.0,5,3,0,0,1,1,0,1,0,0,0,0
20000,18.0,1969.0,190.0,5,2,1,0,0,1,0,0,0,0,0,0
25000,23.59,1364.0,67.04,5,6,1,0,0,1,0,1,0,0,0,0
188000,21.12,1248.0,88.8,5,11,1,0,0,1,0,1,0,1,0,0
106000,16.96,1968.0,138.1,5,10,1,0,0,1,0,0,0,1,0,0
52380,23.59,1364.0,67.04,5,8,1,0,0,0,0,1,0,0,0,0
70000,21.12,1248.0,88.8,5,9,1,0,0,1,0,1,0,0,0,1
36000,13.68,2393.0,147.8,8,4,1,0,0,0,0,1,0,0,0,0
80000,12.99,2494.0,100.6,7,5,1,0,0,1,0,1,0,0,0,0
15000,18.15,1198.0,82.0,6,5,0,0,1,1,0,1,0,1,0,0
36710,22.74,796.0,47.3,5,6,0,0,1,1,0,1,0,1,0,0
70000,15.96,2523.0,62.1,7,8,1,0,0,1,0,1,0,0,0,0
16589,20.51,998.0,67.04,5,3,0,0,1,0,1,1,0,0,0,0
56494,18.2,1199.0,88.7,5,5,0,0,1,0,1,1,0,0,0,0
63000,18.6,1199.0,79.4,5,11,0,0,1,1,0,1,0,0,0,0
120000,20.0,1399.0,68.0,5,11,1,0,0,1,0,1,0,0,0,0
41000,20.5,1582.0,126.2,5,4,1,0,0,0,0,1,0,0,0,0
50000,20.77,1248.0,88.8,7,8,1,0,0,1,0,1,0,1,0,0
51856,18.5,1197.0,80.0,5,9,0,0,1,0,0,1,0,0,0,1
35000,24.7,796.0,47.3,5,4,0,0,1,1,0,1,0,0,0,0
60000,19.7,796.0,46.3,5,12,0,0,1,1,0,1,0,0,0,1
15732,22.0,1197.0,81.8,5,3,0,0,1,0,0,0,0,0,0,0
120000,13.6,2523.0,63.0,7,10,1,0,0,1,0,1,0,0,0,1
210000,22.9,1248.0,74.0,5,10,1,0,0,1,0,1,0,0,0,0
21446,16.8,1497.0,116.3,5,5,0,0,1,0,0,1,0,0,0,0
25000,21.21,1197.0,81.8,5,3,0,0,1,1,0,1,0,0,0,0
77000,16.1,796.0,37.0,4,17,0,0,1,1,0,1,0,0,0,1
20000,18.0,1969.0,190.0,5,2,1,0,0,1,0,0,0,0,0,0
40000,19.0,1199.0,88.7,5,4,0,0,1,1,0,0,0,0,0,0
120000,16.8,1493.0,110.0,5,13,1,0,0,1,0,1,0,1,0,0
10000,21.4,1197.0,83.1,5,3,0,0,1,1,0,1,0,0,0,0
90000,23.2,1248.0,73.94,5,9,1,0,0,1,0,1,0,1,0,0
